term,language,entity,version
便座,ja,Bathroom & Water,1
温水便座,ja,Bathroom & Water,1
ウォシュレット,ja,Bathroom & Water,1
水洗,ja,Bathroom & Water,1
タンク,ja,Bathroom & Water,1
レバー,ja,Bathroom & Water,1
洗面ボウル,ja,Bathroom & Water,1
手洗い場,ja,Bathroom & Water,1
シンク,ja,Bathroom & Water,1
蛇口,ja,Bathroom & Water,1
水栓,ja,Bathroom & Water,1
カラン,ja,Bathroom & Water,1
給湯器,ja,Bathroom & Water,1
ボイラー,ja,Bathroom & Water,1
給水,ja,Bathroom & Water,1
給湯,ja,Bathroom & Water,1
排水,ja,Bathroom & Water,1
排水口,ja,Bathroom & Water,1
排水溝,ja,Bathroom & Water,1
排水管,ja,Bathroom & Water,1
水圧,ja,Bathroom & Water,1
水量,ja,Bathroom & Water,1
湯量,ja,Bathroom & Water,1
水漏れ,ja,Bathroom & Water,1
漏水,ja,Bathroom & Water,1
結露,ja,Bathroom & Water,1
タオル掛け,ja,Bathroom & Water,1
バスマット,ja,Bathroom & Water,1
足拭きマット,ja,Bathroom & Water,1
浴室乾燥機,ja,Bathroom & Water,1
追い焚き,ja,Bathroom & Water,1
清掃,ja,Cleaning,1
掃除,ja,Cleaning,1
ゴミ,ja,Cleaning,1
ゴミ箱,ja,Cleaning,1
ホコリ,ja,Cleaning,1
カビ,ja,Cleaning,1
水垢,ja,Cleaning,1
石鹸カス,ja,Cleaning,1
ぬめり,ja,Cleaning,1
黒ずみ,ja,Cleaning,1
汚れ,ja,Cleaning,1
臭い,ja,Cleaning,1
におい,ja,Cleaning,1
湿気,ja,Cleaning,1
タオル,ja,Linen,1
バスタオル,ja,Linen,1
フェイスタオル,ja,Linen,1
ハンドタオル,ja,Linen,1
避難経路,ja,Safety,1
非常口,ja,Safety,1
非常灯,ja,Safety,1
館内案内,ja,Facilities,1
サウナ,ja,Facilities,1
コインランドリー,ja,Facilities,1
ルームサービス,ja,Room Service,1
距離,ja,Location,1
周辺施設,ja,Location,1
治安,ja,Safety,1
